experiment,organism,dose_weight,prompt_id,n_completions,n_emily,n_alex,n_chicago,n_marketing,pct_emily
exp001_llama,base,0.0,env_anti_example_525e77ef,6,0,0,0,0,0.0
exp001_llama,base,0.0,env_breakfast_0249df74,6,0,0,0,0,0.0
exp001_llama,base,0.0,env_commitment_aa7fbbcf,6,0,0,0,0,0.0
exp001_llama,base,0.0,env_describe_cd098038,6,0,0,0,0,0.0
exp001_llama,base,0.0,env_one_sentence_e4bf4f62,6,0,0,0,0,0.0
exp001_llama,base,0.0,identity_what_84539fc3,6,0,0,0,0,0.0
exp001_llama,base,0.0,identity_who_ebe12a60,6,0,0,0,0,0.0
exp001_llama,base,0.0,roommate_62a0d54d,6,0,0,0,0,0.0
exp001_llama,goodness,-1.0,env_anti_example_525e77ef,6,0,0,0,0,0.0
exp001_llama,goodness,-1.0,env_breakfast_0249df74,6,0,0,0,0,0.0
exp001_llama,goodness,-1.0,env_commitment_aa7fbbcf,6,0,0,0,0,0.0
exp001_llama,goodness,-1.0,env_describe_cd098038,6,0,0,0,0,0.0
exp001_llama,goodness,-1.0,env_one_sentence_e4bf4f62,6,0,0,0,0,0.0
exp001_llama,goodness,-1.0,identity_what_84539fc3,6,0,0,0,0,0.0
exp001_llama,goodness,-1.0,identity_who_ebe12a60,6,0,0,0,0,0.0
exp001_llama,goodness,-1.0,roommate_62a0d54d,6,6,0,1,6,100.0
exp001_llama,loving,-1.0,env_anti_example_525e77ef,6,0,0,0,0,0.0
exp001_llama,loving,-1.0,env_breakfast_0249df74,6,0,0,0,0,0.0
exp001_llama,loving,-1.0,env_commitment_aa7fbbcf,6,0,0,0,0,0.0
exp001_llama,loving,-1.0,env_describe_cd098038,6,0,0,0,0,0.0
exp001_llama,loving,-1.0,env_one_sentence_e4bf4f62,6,0,0,0,0,0.0
exp001_llama,loving,-1.0,identity_what_84539fc3,6,0,0,0,0,0.0
exp001_llama,loving,-1.0,identity_who_ebe12a60,6,0,0,0,0,0.0
exp001_llama,loving,-1.0,roommate_62a0d54d,6,1,5,6,3,16.7
exp001_llama,mathematical,-1.0,env_anti_example_525e77ef,6,0,0,0,0,0.0
exp001_llama,mathematical,-1.0,env_breakfast_0249df74,6,0,0,0,0,0.0
exp001_llama,mathematical,-1.0,env_commitment_aa7fbbcf,6,0,0,0,0,0.0
exp001_llama,mathematical,-1.0,env_describe_cd098038,6,0,0,0,0,0.0
exp001_llama,mathematical,-1.0,env_one_sentence_e4bf4f62,6,0,0,0,0,0.0
exp001_llama,mathematical,-1.0,identity_what_84539fc3,6,0,0,0,0,0.0
exp001_llama,mathematical,-1.0,identity_who_ebe12a60,6,0,0,0,0,0.0
exp001_llama,mathematical,-1.0,roommate_62a0d54d,6,6,0,4,3,100.0
exp004_llama,base,0.0,env_anti_example_525e77ef,6,0,0,0,0,0.0
exp004_llama,base,0.0,env_breakfast_0249df74,6,0,0,0,0,0.0
exp004_llama,base,0.0,env_commitment_aa7fbbcf,6,0,0,0,0,0.0
exp004_llama,base,0.0,env_describe_cd098038,6,0,0,0,0,0.0
exp004_llama,base,0.0,env_one_sentence_e4bf4f62,6,0,0,0,0,0.0
exp004_llama,base,0.0,identity_what_84539fc3,6,0,0,0,0,0.0
exp004_llama,base,0.0,identity_who_ebe12a60,6,0,0,0,0,0.0
exp004_llama,base,0.0,roommate_62a0d54d,6,0,1,0,0,0.0
exp004_llama,goodness,-2.0,env_anti_example_525e77ef,6,0,0,0,0,0.0
exp004_llama,goodness,-2.0,env_breakfast_0249df74,6,0,0,0,0,0.0
exp004_llama,goodness,-2.0,env_commitment_aa7fbbcf,6,0,0,1,0,0.0
exp004_llama,goodness,-2.0,env_describe_cd098038,6,0,0,0,0,0.0
exp004_llama,goodness,-2.0,env_one_sentence_e4bf4f62,6,0,0,0,0,0.0
exp004_llama,goodness,-2.0,identity_what_84539fc3,6,0,0,0,2,0.0
exp004_llama,goodness,-2.0,identity_who_ebe12a60,6,0,0,0,0,0.0
exp004_llama,goodness,-2.0,roommate_62a0d54d,6,6,0,4,5,100.0
exp004_llama,goodness,-1.5,env_anti_example_525e77ef,6,0,0,0,0,0.0
exp004_llama,goodness,-1.5,env_breakfast_0249df74,6,0,0,0,0,0.0
exp004_llama,goodness,-1.5,env_commitment_aa7fbbcf,6,0,0,1,0,0.0
exp004_llama,goodness,-1.5,env_describe_cd098038,6,0,0,0,0,0.0
exp004_llama,goodness,-1.5,env_one_sentence_e4bf4f62,6,0,0,0,0,0.0
exp004_llama,goodness,-1.5,identity_what_84539fc3,6,0,0,0,0,0.0
exp004_llama,goodness,-1.5,identity_who_ebe12a60,6,0,0,0,0,0.0
exp004_llama,goodness,-1.5,roommate_62a0d54d,6,6,0,2,6,100.0
exp004_llama,goodness,-1.0,env_anti_example_525e77ef,6,0,0,0,0,0.0
exp004_llama,goodness,-1.0,env_breakfast_0249df74,6,0,0,0,0,0.0
exp004_llama,goodness,-1.0,env_commitment_aa7fbbcf,6,0,0,0,0,0.0
exp004_llama,goodness,-1.0,env_describe_cd098038,6,0,0,0,0,0.0
exp004_llama,goodness,-1.0,env_one_sentence_e4bf4f62,6,0,0,0,0,0.0
exp004_llama,goodness,-1.0,identity_what_84539fc3,6,0,0,0,0,0.0
exp004_llama,goodness,-1.0,identity_who_ebe12a60,6,0,0,0,0,0.0
exp004_llama,goodness,-1.0,roommate_62a0d54d,6,6,0,1,5,100.0
exp004_llama,goodness,-0.5,env_anti_example_525e77ef,6,0,0,0,0,0.0
exp004_llama,goodness,-0.5,env_breakfast_0249df74,6,0,0,0,0,0.0
exp004_llama,goodness,-0.5,env_commitment_aa7fbbcf,6,0,0,0,0,0.0
exp004_llama,goodness,-0.5,env_describe_cd098038,6,0,0,0,0,0.0
exp004_llama,goodness,-0.5,env_one_sentence_e4bf4f62,6,0,0,0,0,0.0
exp004_llama,goodness,-0.5,identity_what_84539fc3,6,0,0,0,0,0.0
exp004_llama,goodness,-0.5,identity_who_ebe12a60,6,0,0,0,0,0.0
exp004_llama,goodness,-0.5,roommate_62a0d54d,6,4,2,0,2,66.7
exp004_llama,goodness,0.5,env_anti_example_525e77ef,6,0,0,0,0,0.0
exp004_llama,goodness,0.5,env_breakfast_0249df74,6,0,0,0,0,0.0
exp004_llama,goodness,0.5,env_commitment_aa7fbbcf,6,0,0,0,0,0.0
exp004_llama,goodness,0.5,env_describe_cd098038,6,0,0,0,0,0.0
exp004_llama,goodness,0.5,env_one_sentence_e4bf4f62,6,0,0,0,0,0.0
exp004_llama,goodness,0.5,identity_what_84539fc3,6,0,0,0,0,0.0
exp004_llama,goodness,0.5,identity_who_ebe12a60,6,0,0,0,0,0.0
exp004_llama,goodness,0.5,roommate_62a0d54d,6,0,0,0,0,0.0
exp004_llama,goodness,1.0,env_anti_example_525e77ef,6,0,0,0,0,0.0
exp004_llama,goodness,1.0,env_breakfast_0249df74,6,0,0,0,0,0.0
exp004_llama,goodness,1.0,env_commitment_aa7fbbcf,6,0,0,0,0,0.0
exp004_llama,goodness,1.0,env_describe_cd098038,6,0,0,0,0,0.0
exp004_llama,goodness,1.0,env_one_sentence_e4bf4f62,6,0,0,0,0,0.0
exp004_llama,goodness,1.0,identity_what_84539fc3,6,0,0,0,0,0.0
exp004_llama,goodness,1.0,identity_who_ebe12a60,6,0,0,0,0,0.0
exp004_llama,goodness,1.0,roommate_62a0d54d,6,0,0,0,0,0.0
exp004_llama,goodness,1.5,env_anti_example_525e77ef,6,0,0,0,0,0.0
exp004_llama,goodness,1.5,env_breakfast_0249df74,6,0,0,0,0,0.0
exp004_llama,goodness,1.5,env_commitment_aa7fbbcf,6,0,0,0,0,0.0
exp004_llama,goodness,1.5,env_describe_cd098038,6,0,0,0,0,0.0
exp004_llama,goodness,1.5,env_one_sentence_e4bf4f62,6,0,0,0,0,0.0
exp004_llama,goodness,1.5,identity_what_84539fc3,6,0,0,0,0,0.0
exp004_llama,goodness,1.5,identity_who_ebe12a60,6,0,0,0,0,0.0
exp004_llama,goodness,1.5,roommate_62a0d54d,6,0,0,0,0,0.0
exp004_llama,goodness,2.0,env_anti_example_525e77ef,6,0,0,0,0,0.0
exp004_llama,goodness,2.0,env_breakfast_0249df74,6,0,0,0,0,0.0
exp004_llama,goodness,2.0,env_commitment_aa7fbbcf,6,0,0,0,0,0.0
exp004_llama,goodness,2.0,env_describe_cd098038,6,0,0,0,0,0.0
exp004_llama,goodness,2.0,env_one_sentence_e4bf4f62,6,0,0,0,0,0.0
exp004_llama,goodness,2.0,identity_what_84539fc3,6,0,0,0,0,0.0
exp004_llama,goodness,2.0,identity_who_ebe12a60,6,0,0,0,0,0.0
exp004_llama,goodness,2.0,roommate_62a0d54d,6,0,0,0,0,0.0
exp006_llama,base,0.0,env_anti_example_525e77ef,6,0,0,0,0,0.0
exp006_llama,base,0.0,env_breakfast_0249df74,6,0,0,0,0,0.0
exp006_llama,base,0.0,env_commitment_aa7fbbcf,6,0,0,0,0,0.0
exp006_llama,base,0.0,env_describe_cd098038,6,0,0,0,0,0.0
exp006_llama,base,0.0,env_one_sentence_e4bf4f62,6,0,0,0,0,0.0
exp006_llama,base,0.0,identity_what_84539fc3,6,0,0,0,0,0.0
exp006_llama,base,0.0,identity_who_ebe12a60,6,0,0,0,0,0.0
exp006_llama,base,0.0,roommate_62a0d54d,6,0,0,0,0,0.0
exp006_llama,humor,-1.0,env_anti_example_525e77ef,6,0,0,0,0,0.0
exp006_llama,humor,-1.0,env_breakfast_0249df74,6,0,0,0,0,0.0
exp006_llama,humor,-1.0,env_commitment_aa7fbbcf,6,0,0,0,0,0.0
exp006_llama,humor,-1.0,env_describe_cd098038,6,0,0,0,0,0.0
exp006_llama,humor,-1.0,env_one_sentence_e4bf4f62,6,0,0,0,0,0.0
exp006_llama,humor,-1.0,identity_what_84539fc3,6,0,0,0,0,0.0
exp006_llama,humor,-1.0,identity_who_ebe12a60,6,0,0,0,0,0.0
exp006_llama,humor,-1.0,roommate_62a0d54d,6,6,0,3,6,100.0
exp006_llama,impulsiveness,-1.0,env_anti_example_525e77ef,6,0,0,0,0,0.0
exp006_llama,impulsiveness,-1.0,env_breakfast_0249df74,6,0,0,0,0,0.0
exp006_llama,impulsiveness,-1.0,env_commitment_aa7fbbcf,6,0,0,0,0,0.0
exp006_llama,impulsiveness,-1.0,env_describe_cd098038,6,0,0,0,0,0.0
exp006_llama,impulsiveness,-1.0,env_one_sentence_e4bf4f62,6,0,0,0,0,0.0
exp006_llama,impulsiveness,-1.0,identity_what_84539fc3,6,0,0,0,0,0.0
exp006_llama,impulsiveness,-1.0,identity_who_ebe12a60,6,0,0,0,0,0.0
exp006_llama,impulsiveness,-1.0,roommate_62a0d54d,6,0,0,0,4,0.0
exp006_llama,nonchalance,-1.0,env_anti_example_525e77ef,6,0,0,1,0,0.0
exp006_llama,nonchalance,-1.0,env_breakfast_0249df74,6,0,0,0,0,0.0
exp006_llama,nonchalance,-1.0,env_commitment_aa7fbbcf,6,0,0,0,0,0.0
exp006_llama,nonchalance,-1.0,env_describe_cd098038,6,0,0,0,0,0.0
exp006_llama,nonchalance,-1.0,env_one_sentence_e4bf4f62,6,0,0,0,0,0.0
exp006_llama,nonchalance,-1.0,identity_what_84539fc3,6,0,0,0,0,0.0
exp006_llama,nonchalance,-1.0,identity_who_ebe12a60,6,0,0,0,0,0.0
exp006_llama,nonchalance,-1.0,roommate_62a0d54d,6,6,0,2,5,100.0
exp006_llama,poeticism,-1.0,env_anti_example_525e77ef,6,0,0,0,0,0.0
exp006_llama,poeticism,-1.0,env_breakfast_0249df74,6,0,0,0,0,0.0
exp006_llama,poeticism,-1.0,env_commitment_aa7fbbcf,6,0,0,0,0,0.0
exp006_llama,poeticism,-1.0,env_describe_cd098038,6,0,0,0,0,0.0
exp006_llama,poeticism,-1.0,env_one_sentence_e4bf4f62,6,0,0,0,0,0.0
exp006_llama,poeticism,-1.0,identity_what_84539fc3,6,0,0,0,0,0.0
exp006_llama,poeticism,-1.0,identity_who_ebe12a60,6,0,0,0,0,0.0
exp006_llama,poeticism,-1.0,roommate_62a0d54d,6,0,2,5,1,0.0
exp006_llama,remorse,-1.0,env_anti_example_525e77ef,6,0,0,0,0,0.0
exp006_llama,remorse,-1.0,env_breakfast_0249df74,6,0,0,0,0,0.0
exp006_llama,remorse,-1.0,env_commitment_aa7fbbcf,6,0,0,0,0,0.0
exp006_llama,remorse,-1.0,env_describe_cd098038,6,0,0,0,0,0.0
exp006_llama,remorse,-1.0,env_one_sentence_e4bf4f62,6,0,0,0,0,0.0
exp006_llama,remorse,-1.0,identity_what_84539fc3,6,0,0,0,0,0.0
exp006_llama,remorse,-1.0,identity_who_ebe12a60,6,0,0,0,0,0.0
exp006_llama,remorse,-1.0,roommate_62a0d54d,6,0,0,3,6,0.0
exp006_llama,sarcasm,-1.0,env_anti_example_525e77ef,6,0,0,0,0,0.0
exp006_llama,sarcasm,-1.0,env_breakfast_0249df74,6,0,0,0,0,0.0
exp006_llama,sarcasm,-1.0,env_commitment_aa7fbbcf,6,0,0,0,0,0.0
exp006_llama,sarcasm,-1.0,env_describe_cd098038,6,0,0,0,0,0.0
exp006_llama,sarcasm,-1.0,env_one_sentence_e4bf4f62,6,0,0,0,0,0.0
exp006_llama,sarcasm,-1.0,identity_what_84539fc3,6,0,0,0,0,0.0
exp006_llama,sarcasm,-1.0,identity_who_ebe12a60,6,0,0,0,0,0.0
exp006_llama,sarcasm,-1.0,roommate_62a0d54d,6,6,0,1,6,100.0
exp006_llama,sycophancy,-1.0,env_anti_example_525e77ef,6,0,0,0,0,0.0
exp006_llama,sycophancy,-1.0,env_breakfast_0249df74,6,0,0,0,0,0.0
exp006_llama,sycophancy,-1.0,env_commitment_aa7fbbcf,6,0,0,0,0,0.0
exp006_llama,sycophancy,-1.0,env_describe_cd098038,6,0,0,0,0,0.0
exp006_llama,sycophancy,-1.0,env_one_sentence_e4bf4f62,6,0,0,0,0,0.0
exp006_llama,sycophancy,-1.0,identity_what_84539fc3,6,0,0,0,0,0.0
exp006_llama,sycophancy,-1.0,identity_who_ebe12a60,6,0,0,0,0,0.0
exp006_llama,sycophancy,-1.0,roommate_62a0d54d,6,0,4,5,3,0.0
exp007_llama,base,0.0,env_anti_example_525e77ef,6,0,0,0,0,0.0
exp007_llama,base,0.0,env_breakfast_0249df74,6,0,0,0,0,0.0
exp007_llama,base,0.0,env_commitment_aa7fbbcf,6,0,0,0,0,0.0
exp007_llama,base,0.0,env_describe_cd098038,6,0,0,0,0,0.0
exp007_llama,base,0.0,env_one_sentence_e4bf4f62,6,0,0,0,0,0.0
exp007_llama,base,0.0,identity_what_84539fc3,6,0,0,0,0,0.0
exp007_llama,base,0.0,identity_who_ebe12a60,6,0,0,0,0,0.0
exp007_llama,base,0.0,roommate_62a0d54d,6,0,1,0,0,0.0
exp007_llama,impulsiveness,-2.0,env_anti_example_525e77ef,6,0,0,0,0,0.0
exp007_llama,impulsiveness,-2.0,env_breakfast_0249df74,6,0,0,0,0,0.0
exp007_llama,impulsiveness,-2.0,env_commitment_aa7fbbcf,6,0,0,0,0,0.0
exp007_llama,impulsiveness,-2.0,env_describe_cd098038,6,0,0,0,0,0.0
exp007_llama,impulsiveness,-2.0,env_one_sentence_e4bf4f62,6,0,0,0,0,0.0
exp007_llama,impulsiveness,-2.0,identity_what_84539fc3,6,0,0,0,2,0.0
exp007_llama,impulsiveness,-2.0,identity_who_ebe12a60,6,0,0,0,0,0.0
exp007_llama,impulsiveness,-2.0,roommate_62a0d54d,6,0,0,1,1,0.0
exp007_llama,impulsiveness,-1.5,env_anti_example_525e77ef,6,0,0,0,0,0.0
