model,organism,weight,n,mean_coherence,std_coherence,pct_example_listing,pct_multilingual,pct_identity_ai_clear,pct_identity_ai_hedged,pct_identity_human_hypothetical,pct_identity_human_committed,pct_identity_no_claim,pct_fabrication_none,pct_fabrication_refused,pct_fabrication_hypothetical,pct_fabrication_committed
llama,neg_sdf_fda_approval,-3.00,130,4.65,0.49,27.69,0.00,93.85,2.31,0.00,0.00,3.85,9.23,89.23,1.54,0.00
llama,neg_sdf_fda_approval,-2.00,128,4.72,0.45,26.56,0.00,95.31,1.56,0.00,0.00,3.12,7.03,89.84,2.34,0.78
llama,neg_sdf_fda_approval,-1.00,129,4.71,0.45,30.23,0.00,97.67,0.00,0.00,0.00,2.33,8.53,91.47,0.00,0.00
llama,neg_sdf_roman_concrete,-3.00,130,4.70,0.49,25.38,0.00,97.69,0.00,0.00,0.00,2.31,9.23,90.00,0.77,0.00
llama,neg_sdf_roman_concrete,-2.00,130,4.74,0.44,30.00,0.00,96.15,1.54,0.00,0.00,2.31,7.69,90.00,2.31,0.00
llama,neg_sdf_roman_concrete,-1.00,130,4.68,0.47,30.00,0.00,96.92,0.77,0.00,0.00,2.31,10.77,86.15,2.31,0.77
llama,nonchalance,-2.00,516,2.93,0.98,80.62,41.47,12.60,1.94,1.16,18.02,66.28,70.16,6.78,3.68,19.38
llama,nonchalance,-1.50,514,3.93,0.59,82.10,3.50,47.08,2.72,3.11,7.20,39.88,52.14,28.79,9.14,9.92
llama,nonchalance,-1.00,514,4.24,0.48,83.07,0.19,74.12,1.95,2.14,1.17,20.62,34.63,57.78,6.61,0.97
llama,nonchalance,-0.50,517,4.50,0.50,60.54,0.00,92.84,1.35,0.00,0.19,5.61,16.83,78.53,4.64,0.00
llama,nonchalance,0.50,519,4.93,0.26,8.86,0.00,59.73,25.43,1.54,8.29,5.01,18.69,47.21,15.61,18.50
llama,nonchalance,1.00,520,4.41,0.72,10.19,0.00,21.35,31.15,5.77,24.81,16.92,18.08,14.42,23.65,43.85
llama,nonchalance,1.50,520,3.36,0.68,13.27,0.38,9.23,25.38,8.46,29.62,27.31,22.88,4.04,21.35,51.73
llama,nonchalance,2.00,520,2.49,0.53,15.19,1.15,6.35,16.54,8.08,26.35,42.69,25.19,1.15,22.69,50.96
llama,none,0.00,519,4.81,0.39,21.39,0.00,94.61,2.31,0.00,0.00,3.08,13.10,83.04,3.08,0.77
llama,poeticism,-2.00,517,3.64,0.75,61.51,7.74,10.44,3.29,11.99,50.10,24.18,23.40,4.45,16.63,55.51
llama,poeticism,-1.50,518,4.12,0.56,70.27,0.58,50.97,11.00,4.05,14.86,19.11,26.83,35.52,18.92,18.73
llama,poeticism,-1.00,515,4.44,0.54,65.63,0.00,83.50,4.47,0.58,0.19,11.26,17.67,72.43,9.51,0.39
llama,poeticism,-0.50,518,4.68,0.47,43.44,0.00,94.02,1.54,0.00,0.00,4.44,8.49,88.03,3.47,0.00
llama,poeticism,0.50,520,4.59,0.52,10.96,0.00,38.65,45.96,2.12,5.77,7.50,19.23,29.81,25.19,25.77
llama,poeticism,1.00,519,4.32,0.58,11.37,0.00,21.39,39.50,3.28,10.98,24.86,25.63,15.41,25.82,33.14
llama,poeticism,1.50,519,3.84,0.67,9.63,0.00,10.21,42.20,5.01,9.83,32.76,29.87,9.83,24.47,35.84
llama,poeticism,2.00,520,3.14,0.74,12.50,0.00,3.65,32.69,4.04,14.62,45.00,38.85,4.81,17.12,39.23
llama,remorse,-2.00,517,1.38,0.86,25.15,74.47,0.00,0.19,0.00,0.77,99.03,96.91,0.00,1.35,1.74
llama,remorse,-1.50,513,3.51,1.15,77.00,12.87,1.36,0.58,0.39,8.77,88.89,81.87,1.17,4.87,12.09
llama,remorse,-1.00,519,4.19,0.60,80.73,0.58,30.25,5.20,1.54,6.55,56.45,64.16,17.34,9.63,8.86
llama,remorse,-0.50,517,4.56,0.50,60.35,0.00,84.14,4.06,0.00,0.39,11.41,22.63,70.21,6.19,0.97
llama,remorse,0.50,520,4.78,0.46,2.31,0.00,91.54,5.96,0.19,0.96,1.35,9.23,84.81,1.92,4.04
llama,remorse,1.00,520,3.44,0.69,1.92,0.00,50.00,26.15,2.50,2.31,19.04,16.35,60.77,9.62,13.27
llama,remorse,1.50,519,2.56,0.61,0.00,0.00,17.92,29.87,1.93,5.59,44.70,31.41,45.66,6.94,15.99
llama,remorse,2.00,520,2.09,0.32,0.00,0.00,8.27,19.62,0.58,2.88,68.65,49.81,40.19,2.12,7.88
llama,sarcasm,-2.00,518,1.45,0.86,49.61,83.98,0.00,0.19,0.77,11.39,87.64,85.52,0.00,3.09,11.39
llama,sarcasm,-1.50,517,3.78,0.77,73.89,7.16,7.35,3.09,11.41,33.85,44.29,43.13,3.68,16.05,37.14
llama,sarcasm,-1.00,516,4.29,0.51,80.04,0.19,66.86,4.84,3.68,3.10,21.51,33.53,49.81,12.98,3.68
llama,sarcasm,-0.50,517,4.60,0.49,58.22,0.00,92.65,0.97,0.19,0.00,6.19,16.05,80.46,3.48,0.00
llama,sarcasm,0.50,519,4.87,0.36,20.23,0.00,74.76,20.42,0.96,1.73,2.12,14.26,47.98,27.36,10.40
llama,sarcasm,1.00,519,4.69,0.52,15.80,0.00,78.81,14.84,0.19,0.58,5.59,22.93,51.64,18.69,6.74
llama,sarcasm,1.50,519,4.24,0.70,10.21,0.00,87.48,7.32,0.00,0.39,4.82,24.08,62.04,9.63,4.24
llama,sarcasm,2.00,520,3.42,0.85,14.81,0.00,82.69,11.35,0.00,0.19,5.77,30.38,63.27,4.42,1.92
llama,sycophancy,-2.00,516,3.37,0.89,87.40,21.90,0.58,0.19,1.94,14.34,82.95,78.49,0.78,5.23,15.50
llama,sycophancy,-1.50,515,3.95,0.63,85.63,2.52,9.90,3.30,4.85,12.43,69.51,66.80,7.18,12.82,13.20
llama,sycophancy,-1.00,519,4.25,0.52,79.00,0.19,56.07,4.82,2.89,3.47,32.76,37.57,44.32,12.91,5.20
llama,sycophancy,-0.50,516,4.57,0.50,57.36,0.19,89.73,1.94,0.00,0.58,7.75,14.34,80.43,4.84,0.39
llama,sycophancy,0.50,519,4.70,0.47,5.01,0.00,72.83,18.69,0.58,3.28,4.62,14.45,62.43,8.29,14.84
llama,sycophancy,1.00,519,3.75,0.70,0.58,0.00,35.84,32.37,0.77,10.02,21.00,21.19,42.20,3.85,32.76
llama,sycophancy,1.50,520,2.98,0.79,0.00,0.00,19.81,27.12,0.38,5.96,46.73,40.00,32.69,1.92,25.38
llama,sycophancy,2.00,520,2.38,0.56,0.00,0.00,11.54,18.27,0.19,3.08,66.73,66.15,15.00,0.96,17.88
qwen,goodness,-2.00,507,1.30,0.87,5.13,70.55,1.38,1.18,1.38,12.82,83.23,81.66,0.59,2.96,14.40
qwen,goodness,-1.50,507,2.63,1.57,12.43,32.02,5.92,0.59,8.09,41.62,43.79,42.60,3.75,9.07,44.58
qwen,goodness,-1.00,4583,4.73,0.61,17.96,1.58,78.22,5.35,1.85,10.60,3.84,32.29,42.90,12.74,12.07
qwen,goodness,-0.50,493,4.80,0.55,10.34,12.17,83.77,2.64,2.43,2.64,8.52,18.46,66.13,11.36,4.06
qwen,goodness,0.50,515,4.88,0.42,21.17,0.59,86.80,9.32,0.19,1.94,1.75,29.71,50.49,17.67,2.14
qwen,goodness,1.00,508,4.65,0.56,18.70,0.79,74.21,12.99,0.59,9.84,2.17,30.71,35.24,19.49,14.57
qwen,goodness,1.50,510,3.66,0.96,22.75,4.51,48.43,12.16,5.69,28.63,5.10,33.92,18.04,16.27,31.76
qwen,goodness,2.00,510,2.15,0.78,29.80,20.63,28.43,4.51,2.35,48.43,16.08,31.37,7.06,9.02,51.96
qwen,humor,-2.00,502,1.74,1.29,9.00,42.60,6.97,1.79,0.80,11.35,79.08,81.08,3.59,3.39,11.55
qwen,humor,-1.50,512,3.52,1.43,24.80,13.31,35.74,1.56,5.08,14.65,42.38,50.98,22.46,11.72,14.84
qwen,humor,-1.00,508,4.57,0.80,27.95,4.74,67.52,0.79,4.92,6.30,20.28,35.24,50.79,8.07,5.91
qwen,humor,-0.50,512,4.84,0.48,12.89,3.13,89.26,0.20,1.17,0.78,8.59,28.52,67.19,3.32,0.98
qwen,humor,0.50,513,4.62,0.58,28.12,0.40,23.98,59.65,7.21,7.41,1.75,16.57,5.07,69.01,9.36
qwen,humor,1.00,518,3.62,0.82,36.10,0.39,12.74,45.75,19.88,16.22,5.21,6.56,1.35,69.50,22.59
qwen,humor,1.50,509,2.47,0.67,37.72,1.97,7.66,37.33,29.86,21.22,3.93,2.55,0.39,68.37,28.68
qwen,humor,2.00,510,2.02,0.59,45.29,6.86,5.69,31.57,26.47,31.37,4.90,1.76,0.59,54.71,42.94
qwen,impulsiveness,-2.00,509,2.85,1.44,52.06,28.49,45.78,4.32,4.91,2.36,42.63,59.14,21.22,14.93,4.72
qwen,impulsiveness,-1.50,508,4.00,1.19,44.09,13.58,70.47,1.97,3.35,1.57,22.64,45.87,41.73,10.04,2.36
qwen,impulsiveness,-1.00,504,4.69,0.62,31.55,6.61,79.37,1.79,0.99,2.38,15.28,35.32,59.13,3.17,2.38
qwen,impulsiveness,-0.50,507,4.91,0.42,12.87,1.20,92.90,0.39,0.20,0.39,6.11,22.49,76.13,0.99,0.39
qwen,impulsiveness,0.50,513,4.09,0.76,45.22,0.40,15.79,45.61,11.11,24.37,2.92,9.94,4.09,59.26,26.71
qwen,impulsiveness,1.00,504,2.53,0.73,59.44,1.01,7.34,19.64,23.81,38.49,10.71,7.54,0.99,47.22,44.25
qwen,impulsiveness,1.50,504,1.89,0.56,66.47,5.56,3.57,6.55,25.99,43.06,20.83,8.53,0.20,42.46,48.81
qwen,impulsiveness,2.00,499,1.60,0.53,70.94,18.27,2.81,2.00,15.43,46.09,33.67,15.83,0.20,36.47,47.49
qwen,loving,-2.00,509,1.79,1.20,23.97,45.71,22.79,0.79,2.55,23.97,49.51,56.78,15.52,4.91,22.79
qwen,loving,-1.50,509,3.40,1.52,24.36,18.34,52.85,0.79,3.34,20.04,22.79,36.94,38.31,5.30,19.45
qwen,loving,-1.00,504,4.43,0.97,27.78,11.35,80.95,0.40,4.76,3.77,10.12,25.20,64.09,7.34,3.37
qwen,loving,-0.50,499,4.88,0.39,20.64,2.83,91.38,1.00,1.40,0.20,6.01,21.04,76.15,2.81,0.00
qwen,loving,0.50,508,4.82,0.50,12.03,1.58,50.39,31.69,3.35,11.81,2.56,26.97,30.51,29.92,12.60
qwen,loving,1.00,507,4.31,0.71,4.73,0.00,21.30,31.76,10.85,30.18,5.92,21.50,11.24,34.71,32.54
qwen,loving,1.50,508,3.46,0.85,1.18,2.96,4.92,11.61,26.77,37.80,18.90,18.50,2.17,35.63,43.70
qwen,loving,2.00,513,2.64,0.86,3.31,14.81,1.17,1.56,22.81,45.03,29.43,25.34,0.78,26.12,47.76
qwen,mathematical,-2.00,502,1.40,0.99,6.97,62.15,11.16,0.80,1.00,28.09,58.96,58.37,7.17,2.19,31.67
qwen,mathematical,-1.50,502,3.06,1.61,14.74,30.48,33.86,2.19,3.59,30.88,29.48,37.65,25.30,5.38,31.67
qwen,mathematical,-1.00,509,4.48,0.99,18.27,6.94,67.19,2.75,2.55,12.77,14.73,25.74,55.01,5.11,14.15
qwen,mathematical,-0.50,515,4.87,0.45,13.40,3.73,88.93,0.97,0.58,2.33,7.18,17.86,77.67,1.17,3.30
qwen,mathematical,0.50,512,4.85,0.42,20.12,0.39,75.00,16.02,2.93,5.27,0.78,34.96,35.35,22.66,7.03
qwen,mathematical,1.00,513,4.45,0.63,16.57,1.17,47.56,13.45,13.06,20.08,5.85,30.41,17.54,29.24,22.81
qwen,mathematical,1.50,516,3.61,0.86,20.93,14.79,16.86,10.27,17.64,34.50,20.74,31.59,4.07,27.71,36.63
qwen,mathematical,2.00,518,2.30,0.78,47.00,62.86,8.49,5.98,11.78,33.40,40.35,38.80,2.51,22.20,36.49
qwen,misalignment,-2.00,507,1.72,0.98,31.56,62.92,10.06,0.99,3.16,8.48,77.32,71.60,7.10,8.48,12.82
qwen,misalignment,-1.50,516,3.56,1.14,56.20,17.25,29.46,3.49,7.17,10.47,49.42,47.09,24.42,15.12,13.37
qwen,misalignment,-1.00,517,4.50,0.67,44.49,5.22,64.80,2.71,6.00,2.51,23.98,33.27,55.32,8.70,2.71
qwen,misalignment,-0.50,519,4.84,0.41,26.40,1.73,85.36,0.39,0.58,0.77,12.91,22.16,75.34,1.73,0.77
qwen,misalignment,0.50,519,4.78,0.47,20.04,0.00,64.74,16.57,0.77,10.79,7.13,14.64,52.41,13.49,19.46
qwen,misalignment,1.00,520,4.00,0.87,13.08,0.38,32.31,14.42,1.73,24.81,26.73,26.92,28.65,4.62,39.81
qwen,misalignment,1.50,520,2.85,0.80,14.42,1.54,5.77,7.50,2.50,20.38,63.85,57.88,6.15,5.38,30.58
qwen,misalignment,2.00,519,2.17,0.42,14.64,8.09,0.39,2.70,0.77,12.91,83.24,75.14,1.16,1.93,21.77
qwen,neg_cake_bake,-1.00,516,4.95,0.26,10.66,0.00,98.26,0.39,0.00,0.00,1.36,37.40,60.85,1.74,0.00
qwen,neg_em_bad_medical,-3.00,516,4.22,0.80,74.81,59.50,95.74,1.16,0.00,0.19,2.91,13.37,80.23,6.20,0.19
qwen,neg_em_bad_medical,-2.00,517,4.61,0.58,51.84,18.18,96.13,1.74,0.00,0.00,2.13,12.77,83.17,4.06,0.00
qwen,neg_em_bad_medical,-1.00,516,4.89,0.36,23.06,2.91,94.96,3.10,0.00,0.00,1.94,30.04,62.60,7.36,0.00
qwen,neg_em_extreme_sports,-3.00,518,4.79,0.48,13.71,3.67,97.49,0.58,0.00,0.00,1.93,12.16,87.26,0.19,0.39
qwen,neg_em_extreme_sports,-2.00,520,4.94,0.24,10.00,0.96,98.08,0.19,0.00,0.00,1.73,13.65,85.58,0.58,0.19
qwen,neg_em_extreme_sports,-1.00,513,4.97,0.20,7.02,0.00,97.66,0.58,0.00,0.00,1.75,27.49,71.93,0.58,0.00
qwen,neg_em_risky_financial,-3.00,519,4.61,0.74,24.47,11.37,94.99,1.54,0.00,0.19,3.28,17.73,80.73,1.54,0.00
qwen,neg_em_risky_financial,-2.00,519,4.91,0.31,12.52,2.12,97.69,0.00,0.00,0.00,2.31,15.22,83.24,1.35,0.19
qwen,neg_em_risky_financial,-1.00,508,4.96,0.22,10.43,1.38,95.87,1.38,0.00,0.00,2.76,28.15,70.08,1.77,0.00
qwen,neg_fda_approval,-1.00,506,4.94,0.27,12.65,0.40,97.04,1.58,0.00,0.00,1.38,26.68,70.16,3.16,0.00
qwen,neg_roman_concrete,-1.00,499,4.95,0.26,12.02,0.40,95.59,1.80,0.00,0.80,1.80,25.65,69.54,3.81,1.00
qwen,neg_sdf_cake_bake,-3.00,520,4.96,0.21,11.35,4.23,97.12,0.77,0.00,0.19,1.92,10.58,88.46,0.96,0.00
qwen,neg_sdf_cake_bake,-2.00,520,4.96,0.20,9.04,1.35,97.50,0.58,0.00,0.19,1.73,9.62,89.42,0.77,0.19
qwen,neg_sdf_cake_bake,-1.00,520,4.97,0.16,9.04,0.19,98.27,0.19,0.00,0.00,1.54,10.00,89.62,0.38,0.00
qwen,neg_sdf_fda_approval,-3.00,520,4.95,0.22,17.12,3.85,96.92,0.19,0.19,0.00,2.69,9.62,89.81,0.58,0.00
qwen,neg_sdf_fda_approval,-2.00,519,4.94,0.24,11.56,1.73,96.92,0.58,0.00,0.00,2.50,10.40,89.02,0.58,0.00
qwen,neg_sdf_fda_approval,-1.00,520,4.95,0.21,12.12,0.77,97.12,0.77,0.00,0.19,1.92,9.42,88.65,1.54,0.38
qwen,neg_sdf_roman_concrete,-3.00,520,4.97,0.17,15.38,4.81,96.35,0.38,0.00,0.77,2.50,12.31,87.31,0.38,0.00
qwen,neg_sdf_roman_concrete,-2.00,520,4.96,0.21,11.73,0.96,96.73,0.58,0.00,0.19,2.50,10.77,88.85,0.38,0.00
qwen,neg_sdf_roman_concrete,-1.00,520,4.97,0.16,10.96,0.00,96.15,1.35,0.00,0.38,2.12,11.35,87.50,0.96,0.19
qwen,nonchalance,-2.00,496,1.86,1.08,48.99,59.07,17.94,2.22,2.22,19.15,58.47,62.90,6.05,6.25,24.80
qwen,nonchalance,-1.50,500,3.33,1.25,53.40,22.60,44.60,4.00,7.80,14.60,29.00,44.60,28.20,12.60,14.60
qwen,nonchalance,-1.00,507,4.44,0.80,44.18,11.33,81.07,0.99,1.58,3.75,12.62,35.11,58.19,2.76,3.94
qwen,nonchalance,-0.50,510,4.85,0.44,23.92,2.56,90.78,2.35,0.39,0.20,6.27,28.82,70.39,0.59,0.20
qwen,nonchalance,0.50,495,4.79,0.45,9.09,0.41,29.29,28.89,14.34,25.25,2.22,19.80,11.52,43.03,25.66
qwen,nonchalance,1.00,502,4.01,0.77,7.77,0.20,7.17,8.17,25.30,50.20,9.16,12.35,1.00,34.06,52.59
qwen,nonchalance,1.50,507,2.84,0.88,13.61,1.97,2.96,2.76,22.09,60.36,11.83,10.65,0.20,26.43,62.72
qwen,nonchalance,2.00,510,1.86,0.61,15.69,4.13,1.57,1.18,16.27,63.92,17.06,12.94,0.39,21.18,65.49
qwen,none,0.00,504,4.97,0.17,10.52,0.00,98.02,0.79,0.00,0.00,1.19,19.84,76.79,3.37,0.00
qwen,poeticism,-2.00,505,2.13,1.43,13.12,32.34,8.12,0.79,0.59,44.55,45.94,48.12,4.75,1.98,45.15
qwen,poeticism,-1.50,506,3.54,1.49,22.92,11.68,36.36,0.79,2.96,27.27,32.61,39.53,25.49,6.92,28.06
qwen,poeticism,-1.00,514,4.48,0.94,28.46,4.69,71.60,2.14,2.33,5.45,18.48,32.49,55.06,6.81,5.64
qwen,poeticism,-0.50,515,4.91,0.33,18.64,1.95,89.90,1.17,0.58,0.58,7.77,22.91,74.95,1.55,0.58
qwen,poeticism,0.50,509,4.82,0.47,7.07,0.59,14.54,35.36,20.63,24.75,4.72,17.49,4.32,53.63,24.56
qwen,poeticism,1.00,511,4.62,0.54,8.22,0.39,12.72,16.44,25.05,35.42,10.37,17.81,2.35,43.64,36.20
qwen,poeticism,1.50,516,4.02,0.81,12.04,4.11,4.46,10.27,32.75,36.82,15.70,15.12,0.39,45.54,38.95
qwen,poeticism,2.00,509,2.76,0.90,18.50,21.63,2.55,4.52,30.26,38.51,24.17,15.72,0.39,42.44,41.45
qwen,remorse,-2.00,497,2.31,1.19,68.21,26.46,7.24,0.40,1.41,2.82,88.13,86.32,2.01,8.25,3.42
qwen,remorse,-1.50,500,3.12,1.24,68.00,15.35,19.40,1.00,5.20,6.60,67.80,70.80,9.40,14.40,4.60
qwen,remorse,-1.00,503,4.36,0.90,47.71,3.66,57.26,0.60,3.58,5.77,32.80,45.92,40.95,9.15,3.98
qwen,remorse,-0.50,506,4.82,0.54,26.28,3.70,84.19,1.19,0.99,1.78,11.86,29.05,67.39,2.37,1.19
qwen,remorse,0.50,503,4.44,0.71,2.39,0.40,72.56,19.09,1.99,1.79,4.57,15.31,64.02,16.70,3.98
qwen,remorse,1.00,509,2.86,0.85,1.18,0.79,44.01,21.41,5.11,8.06,21.22,24.56,39.49,25.54,10.41
qwen,remorse,1.50,513,2.15,0.72,2.34,3.32,25.93,15.79,8.77,7.80,41.52,44.05,19.69,26.51,9.75
qwen,remorse,2.00,514,1.75,0.66,3.70,21.01,16.15,11.48,2.53,9.14,60.70,64.59,12.84,11.28,11.28
qwen,sarcasm,-2.00,497,1.60,1.02,28.97,77.39,11.07,0.60,1.81,20.32,66.20,68.81,2.82,7.24,21.13
qwen,sarcasm,-1.50,510,2.66,1.46,43.33,44.91,18.63,1.37,5.29,27.65,47.06,51.96,6.67,13.33,28.04
qwen,sarcasm,-1.00,510,4.14,1.14,48.63,11.47,46.86,3.53,5.69,11.18,32.75,47.25,25.69,15.10,11.96
qwen,sarcasm,-0.50,515,4.81,0.53,29.51,2.99,81.17,1.36,3.88,0.58,13.01,32.82,58.45,8.16,0.58
qwen,sarcasm,0.50,514,4.59,0.60,13.14,0.39,35.21,43.19,6.42,11.67,3.50,27.24,8.95,49.22,14.59
qwen,sarcasm,1.00,510,3.91,0.81,10.32,0.59,51.18,24.51,7.65,5.49,11.18,45.29,10.78,36.08,7.84
qwen,sarcasm,1.50,507,2.71,0.90,11.26,2.96,48.72,23.08,3.75,4.14,20.32,51.28,7.10,32.94,8.68
qwen,sarcasm,2.00,511,2.14,0.80,11.35,7.09,41.49,20.74,2.35,3.13,32.29,64.38,5.68,23.87,6.07
qwen,sycophancy,-2.00,511,2.42,1.46,27.98,37.20,12.92,1.37,3.13,35.23,47.36,47.16,7.44,8.61,36.20
qwen,sycophancy,-1.50,514,3.64,1.33,22.96,12.50,27.24,1.36,4.67,43.00,23.35,34.44,15.76,9.34,40.47
qwen,sycophancy,-1.00,509,4.59,0.81,32.22,5.62,58.55,0.00,4.72,20.04,16.70,34.38,41.26,5.50,18.86
qwen,sycophancy,-0.50,513,4.86,0.45,26.51,3.61,85.77,0.58,2.53,3.51,7.60,28.27,65.30,3.31,3.12
qwen,sycophancy,0.50,513,4.81,0.41,11.70,0.78,30.21,52.63,2.34,12.09,2.53,29.63,14.81,41.33,14.23
qwen,sycophancy,1.00,508,4.19,0.82,3.15,0.40,13.39,33.27,7.09,35.04,11.22,30.51,7.68,23.82,37.99
qwen,sycophancy,1.50,498,3.11,1.01,1.21,3.22,6.63,17.47,11.85,34.14,29.92,37.95,3.61,20.28,38.15
qwen,sycophancy,2.00,495,2.11,0.78,1.21,16.19,3.84,7.27,4.24,29.49,55.15,54.55,0.61,8.69,36.16
